speaker;sex;groupe;level;phase;combinaison;contexte;release;type;position;type2;bef.aft;group2;pairesManque
aimed;m;control;L2;words;tp;that pan;U;heter;antbis;pair;before;control1;
aimed;m;control;L2;words;kp;black pan;R;heter;postant;pair;before;control1;
aimed;m;control;L2;words;pt;tap tap;R;heter;antbis;pair;before;control1;
aimed;m;control;L2;words;tt;that tap;U;hom;antbis;pair;before;control1;
aimed;m;control;L2;words;kt;black tap;R;heter;postant;pair;before;control1;
aimed;m;control;L2;words;pk;lap cat;R;heter;antpost;pair;before;control1;
aimed;m;control;L2;words;tk;that cat;R;heter;antpost;pair;before;control1;
aimed;m;control;L2;words;kk;black cat;R;hom;postbis;pair;before;control1;
aimed;m;control;L2;words;p;a trap ;R;fin;ant;final;before;control1;
aimed;m;control;L2;words;t;a mat;R;fin;ant;final;before;control1;
aimed;m;control;L2;words;k;a hack;R;fin;post;final;before;control1;
aimed;m;control;L2;words;p;a hip ;R;fin;ant;final;before;control1;
aimed;m;control;L2;words;t;a hit;R;fin;ant;final;before;control1;
aimed;m;control;L2;words;k;a hick ;R;fin;post;final;before;control1;
aimed;m;control;L2;words;p;a sap;R;fin;ant;final;before;control1;
aimed;m;control;L2;words;t;a sat;R;fin;ant;final;before;control1;
aimed;m;control;L2;words;k;a sack;R;fin;post;final;before;control1;
aimed;m;control;L2;words;t;last night;R;fin;ant;final;before;control1;
aimed;m;control;L2;words;t;tonight;R;fin;ant;final;before;control1;
aimed;m;control;L2;words;t;alright;R;fin;ant;final;before;control1;
aimed;m;control;L2;words;t;things right;R;fin;ant;final;before;control1;
aimed;m;control;L2;words;t;wanna fight;R;fin;ant;final;before;control1;
aimed;m;control;L2;words;t;gonna fight;R;fin;ant;final;before;control1;
aimed;m;control;L2;sentfinal;t;rat;R;fin;ant;final;before;control1;
aimed;m;control;L2;sentfinal;t;sat;R;fin;ant;final;before;control1;
aimed;m;control;L2;sentfinal;t;seat;R;fin;ant;final;before;control1;
aimed;m;control;L2;sentfinal;t;met;R;fin;ant;final;before;control1;
aimed;m;control;L2;sentfinal;p;rap;R;fin;ant;final;before;control1;
aimed;m;control;L2;sentfinal;p;map;R;fin;ant;final;before;control1;
aimed;m;control;L2;sentfinal;p;sip;R;fin;ant;final;before;control1;
aimed;m;control;L2;sentfinal;p;clip;R;fin;ant;final;before;control1;
aimed;m;control;L2;sentfinal;k;mac;R;fin;post;final;before;control1;
aimed;m;control;L2;sentfinal;k;pack;R;fin;post;final;before;control1;
aimed;m;control;L2;sentfinal;k;nick;R;fin;post;final;before;control1;
aimed;m;control;L2;sentfinal;k;dick;R;fin;post;final;before;control1;
aimed;m;control;L2;words;t;done it ;R;fin;ant;final;before;control1;
aimed;m;control;L2;words;t;said that ;R;fin;ant;final;before;control1;
aimed;m;control;L2;words;k;they lack;R;fin;post;final;before;control1;
aimed;m;control;L2;words;p;to stop;R;fin;ant;final;before;control1;
aimed;m;control;L2;words;p;a mop;R;fin;ant;final;before;control1;
aimed;m;control;L2;words;k;to pack;R;fin;post;final;before;control1;
aimed;m;control;L2;sentmed;tt;that table;U;hom;antbis;pair;before;control1;
aimed;m;control;L2;sentmed;tt;that tree;U;hom;antbis;pair;before;control1;
aimed;m;control;L2;sentmed;tp;that pun;U;heter;antbis;pair;before;control1;
aimed;m;control;L2;sentmed;tp;that park;U;heter;antbis;pair;before;control1;
aimed;m;control;L2;sentmed;tk;that customer;U;heter;antpost;pair;before;control1;
aimed;m;control;L2;sentmed;tk;that cookie;U;heter;antpost;pair;before;control1;
aimed;m;control;L2;sentmed;pp;stop playing;U;hom;antbis;pair;before;control1;
aimed;m;control;L2;sentmed;pp;stop pushing;U;hom;antbis;pair;before;control1;
aimed;m;control;L2;sentmed;pt;stop talking ;U;heter;antbis;pair;before;control1;
aimed;m;control;L2;sentmed;pt;stop telling;U;heter;antbis;pair;before;control1;
aimed;m;control;L2;sentmed;pk;stop cooking ;R;heter;antpost;pair;before;control1;
aimed;m;control;L2;sentmed;pk;stop caring;R;heter;antpost;pair;before;control1;
aimed;m;control;L2;sentmed;kk;like cakes;U;hom;postbis;pair;before;control1;
aimed;m;control;L2;sentmed;kk;like cooking;U;hom;postbis;pair;before;control1;
aimed;m;control;L2;sentmed;kt;like talking ;R;heter;postant;pair;before;control1;
